Question 1,Question 2,Labels,Num_fiche_q1,Num_fiche_q2
Que permet d'obtenir l'avis d'impôt sur le revenu qui vous est adressé par l'administration fiscale ?,Qu'est-ce que la déclaration automatique proposée depuis 2019 ?,1,0,0
Que permet d'obtenir l'avis d'impôt sur le revenu qui vous est adressé par l'administration fiscale ?,Que se passe-t-il si vous n'êtes pas en mesure de déclarer vos revenus en ligne malgré l'accès à Internet ?,1,0,0
Que permet d'obtenir l'avis d'impôt sur le revenu qui vous est adressé par l'administration fiscale ?,Dans quelles conditions pouvez-vous déclarer vos revenus en ligne avec un formulaire pré-rempli ?,1,0,0
Que permet d'obtenir l'avis d'impôt sur le revenu qui vous est adressé par l'administration fiscale ?,Quelle est la période de dépôt pour la déclaration de revenus si vous la déposez en ligne ?,1,0,0
Que permet d'obtenir l'avis d'impôt sur le revenu qui vous est adressé par l'administration fiscale ?,Qui doit souscrire une déclaration de revenus chaque année ?,1,0,0
Que permet d'obtenir l'avis d'impôt sur le revenu qui vous est adressé par l'administration fiscale ?,Quels éléments la déclaration des revenus permet-elle de mettre à jour en plus du calcul de l'impôt dû ?,1,0,0
Que permet d'obtenir l'avis d'impôt sur le revenu qui vous est adressé par l'administration fiscale ?,Quel rôle joue le prélèvement à la source dans le cadre de la déclaration des revenus ?,1,0,0
Que permet d'obtenir l'avis d'impôt sur le revenu qui vous est adressé par l'administration fiscale ?,À quel centre des finances publiques devez-vous adresser votre déclaration de revenus ?,1,0,0
Que permet d'obtenir l'avis d'impôt sur le revenu qui vous est adressé par l'administration fiscale ?,Quelle est la conséquence du non-dépôt de la déclaration de revenus dans les délais impartis ?,1,0,0
Que permet d'obtenir l'avis d'impôt sur le revenu qui vous est adressé par l'administration fiscale ?,Quel formulaire devez-vous utiliser pour déclarer vos revenus si vous déclarez pour la première fois ?,1,0,0
Qu'est-ce que la déclaration automatique proposée depuis 2019 ?,Que se passe-t-il si vous n'êtes pas en mesure de déclarer vos revenus en ligne malgré l'accès à Internet ?,1,0,0
Qu'est-ce que la déclaration automatique proposée depuis 2019 ?,Dans quelles conditions pouvez-vous déclarer vos revenus en ligne avec un formulaire pré-rempli ?,1,0,0
Qu'est-ce que la déclaration automatique proposée depuis 2019 ?,Quelle est la période de dépôt pour la déclaration de revenus si vous la déposez en ligne ?,1,0,0
Qu'est-ce que la déclaration automatique proposée depuis 2019 ?,Qui doit souscrire une déclaration de revenus chaque année ?,1,0,0
Qu'est-ce que la déclaration automatique proposée depuis 2019 ?,Quels éléments la déclaration des revenus permet-elle de mettre à jour en plus du calcul de l'impôt dû ?,1,0,0
Qu'est-ce que la déclaration automatique proposée depuis 2019 ?,Quel rôle joue le prélèvement à la source dans le cadre de la déclaration des revenus ?,1,0,0
Qu'est-ce que la déclaration automatique proposée depuis 2019 ?,À quel centre des finances publiques devez-vous adresser votre déclaration de revenus ?,1,0,0
Qu'est-ce que la déclaration automatique proposée depuis 2019 ?,Quelle est la conséquence du non-dépôt de la déclaration de revenus dans les délais impartis ?,1,0,0
Qu'est-ce que la déclaration automatique proposée depuis 2019 ?,Quel formulaire devez-vous utiliser pour déclarer vos revenus si vous déclarez pour la première fois ?,1,0,0
Que se passe-t-il si vous n'êtes pas en mesure de déclarer vos revenus en ligne malgré l'accès à Internet ?,Dans quelles conditions pouvez-vous déclarer vos revenus en ligne avec un formulaire pré-rempli ?,1,0,0
Que se passe-t-il si vous n'êtes pas en mesure de déclarer vos revenus en ligne malgré l'accès à Internet ?,Quelle est la période de dépôt pour la déclaration de revenus si vous la déposez en ligne ?,1,0,0
Que se passe-t-il si vous n'êtes pas en mesure de déclarer vos revenus en ligne malgré l'accès à Internet ?,Qui doit souscrire une déclaration de revenus chaque année ?,1,0,0
Que se passe-t-il si vous n'êtes pas en mesure de déclarer vos revenus en ligne malgré l'accès à Internet ?,Quels éléments la déclaration des revenus permet-elle de mettre à jour en plus du calcul de l'impôt dû ?,1,0,0
Que se passe-t-il si vous n'êtes pas en mesure de déclarer vos revenus en ligne malgré l'accès à Internet ?,Quel rôle joue le prélèvement à la source dans le cadre de la déclaration des revenus ?,1,0,0
Que se passe-t-il si vous n'êtes pas en mesure de déclarer vos revenus en ligne malgré l'accès à Internet ?,À quel centre des finances publiques devez-vous adresser votre déclaration de revenus ?,1,0,0
Que se passe-t-il si vous n'êtes pas en mesure de déclarer vos revenus en ligne malgré l'accès à Internet ?,Quelle est la conséquence du non-dépôt de la déclaration de revenus dans les délais impartis ?,1,0,0
Que se passe-t-il si vous n'êtes pas en mesure de déclarer vos revenus en ligne malgré l'accès à Internet ?,Quel formulaire devez-vous utiliser pour déclarer vos revenus si vous déclarez pour la première fois ?,1,0,0
Dans quelles conditions pouvez-vous déclarer vos revenus en ligne avec un formulaire pré-rempli ?,Quelle est la période de dépôt pour la déclaration de revenus si vous la déposez en ligne ?,1,0,0
Dans quelles conditions pouvez-vous déclarer vos revenus en ligne avec un formulaire pré-rempli ?,Qui doit souscrire une déclaration de revenus chaque année ?,1,0,0
Dans quelles conditions pouvez-vous déclarer vos revenus en ligne avec un formulaire pré-rempli ?,Quels éléments la déclaration des revenus permet-elle de mettre à jour en plus du calcul de l'impôt dû ?,1,0,0
Dans quelles conditions pouvez-vous déclarer vos revenus en ligne avec un formulaire pré-rempli ?,Quel rôle joue le prélèvement à la source dans le cadre de la déclaration des revenus ?,1,0,0
Dans quelles conditions pouvez-vous déclarer vos revenus en ligne avec un formulaire pré-rempli ?,À quel centre des finances publiques devez-vous adresser votre déclaration de revenus ?,1,0,0
Dans quelles conditions pouvez-vous déclarer vos revenus en ligne avec un formulaire pré-rempli ?,Quelle est la conséquence du non-dépôt de la déclaration de revenus dans les délais impartis ?,1,0,0
Dans quelles conditions pouvez-vous déclarer vos revenus en ligne avec un formulaire pré-rempli ?,Quel formulaire devez-vous utiliser pour déclarer vos revenus si vous déclarez pour la première fois ?,1,0,0
Quelle est la période de dépôt pour la déclaration de revenus si vous la déposez en ligne ?,Qui doit souscrire une déclaration de revenus chaque année ?,1,0,0
Quelle est la période de dépôt pour la déclaration de revenus si vous la déposez en ligne ?,Quels éléments la déclaration des revenus permet-elle de mettre à jour en plus du calcul de l'impôt dû ?,1,0,0
